"","x"
"646","Kangiella"
"647","KCM-B-112"
"648","Ketobacter"
"649","Kiloniella"
"650","Kineococcus"
"651","Kingella"
"652","Kinneretia"
"653","Kistimonas"
"654","Klebsiella"
"655","Klenkia"
"656","Knoellia"
"657","Kocuria"
"658","Kordia"
"659","Kordiimonas"
"660","Kosakonia"
"661","Kriegella"
"662","Kurthia"
"663","Kushneria"
"664","Kytococcus"
"665","Labilibacter"
"666","Labrenzia"
"667","Labrys"
"668","Lachnoanaerobaculum"
"669","Lachnoclostridium"
"670","Lachnospiraceae AC2044 group"
"671","Lachnospiraceae ND3007 group"
"672","Lachnospiraceae NK4A136 group"
"673","Lachnospiraceae UCG-001"
"674","Lachnospiraceae UCG-007"
"675","Lacibacter"
"676","Lacibacterium"
"677","Lacimicrobium"
"678","Lacimonas"
"679","Lacinutrix"
"680","Lacticaseibacillus"
"681","Lactiplantibacillus"
"682","Lactobacillus"
"683","Lactococcus"
"684","Lacunisphaera"
"685","Larkinella"
"686","Lautropia"
"687","Lawsonella"
"688","LCP-80"
"689","Leadbetterella"
"690","Leeuwenhoekiella"
"691","Legionella"
"692","Leifsonia"
"693","Leisingera"
"694","Lelliottia"
"695","Lentibacter"
"696","Lentilitoribacter"
"697","Lentimonas"
"698","Lentisphaera"
"699","Leptobacterium"
"700","Leptolyngbya LEGE-06070"
"701","Leptolyngbya PCC-6406"
"702","Leptospira"
"703","Leptothrix"
"704","Leptotrichia"
"705","Leucobacter"
"706","Leuconostoc"
"707","Leucothrix"
"708","Levilactobacillus"
"709","Levilinea"
"710","Lewinella"
"711","Ligilactobacillus"
"712","Limibacillus"
"713","Limibaculum"
"714","Limimaricola"
"715","Limnobacter"
"716","Limnohabitans"
"717","Limnothrix"
"718","Litoreibacter"
"719","Litoribacillus"
"720","Litoribrevibacter"
"721","Litoricola"
"722","Litorilituus"
"723","Litorimicrobium"
"724","Litorimonas"
"725","Litorisediminivivens"
"726","Litorivivens"
"727","Loktanella"
"728","LS-NOB"
"729","Luminiphilus"
"730","Luteibacter"
"731","Luteibaculum"
"732","Luteimonas"
"733","Luteitalea"
"734","Luteivirga"
"735","Luteococcus"
"736","Luteolibacter"
"737","Lutibacter"
"738","Lutimaribacter"
"739","Lutimonas"
"740","Lyngbya PCC-7419"
"741","Lysinibacillus"
"742","Lysinimonas"
"743","Lysobacter"
"744","Lyticum"
"745","Macellibacteroides"
"746","Macrococcus"
"747","Magnetococcus"
"748","Magnetospira"
"749","Magnetovibrio"
"750","Malaciobacter"
"751","Malonomonas"
"752","Mameliella"
"753","Mangrovimonas"
"754","Maribacter"
"755","Maribius"
"756","Maricaulis"
"757","Marichromatium"
"758","Maricurvus"
"759","Marimicrobium"
"760","Marinagarivorans"
"761","Marine Methylotrophic Group 3"
"762","Marinibacterium"
"763","Marinicaulis"
"764","Marinicella"
"765","Marinifilum"
"766","Marinilutecoccus"
"767","Marinobacter"
"768","Marinobacterium"
"769","Marinococcus"
"770","Marinomonas"
"771","Marinoscillum"
"772","Marinosulfonomonas"
"773","Marinovum"
"774","Mariprofundus"
"775","Maritalea"
"776","Maritimibacter"
"777","Maritimimonas"
"778","Marivirga"
"779","Marivita"
"780","Marivivens"
"781","Marixanthomonas"
"782","Marmoricola"
"783","Martelella"
"784","Marvinbryantia"
"785","Massilia"
"786","Mastigocoleus BC008"
"787","MB11C04 marine group"
"788","MBIC10086"
"789","MD3-55"
"790","Megasphaera"
"791","Meiothermus"
"792","Mesoflavibacter"
"793","Mesonia"
"794","Mesorhizobium"
"795","Methanococcoides"
"796","Methanohalophilus"
"797","Methanolobus"
"798","Methylibium"
"799","Methylobacterium-Methylorubrum"
"800","Methyloceanibacter"
"801","Methylogaea"
"802","Methylomarinum"
"803","Methylophaga"
"804","Methylotenera"
"805","Methyloterricola"
"806","Methyloversatilis"
"807","Mf105b01"
"808","Microbacterium"
"809","Microbulbifer"
"810","Micrococcus"
"811","Microlunatus"
"812","Micromonospora"
"813","Microscilla"
"814","Microvirga"
"815","Milano-WF1B-03"
"816","Mitsuaria"
"817","ML602J-51"
"818","MN 122.2a"
"819","MND1"
"820","Mobilicoccus"
"821","Mobiluncus"
"822","Modestobacter"
"823","Mogibacterium"
"824","Moheibacter"
"825","Mongoliibacter"
"826","Monoglobus"
"827","Moorea"
"828","Moraxella"
"829","Moritella"
"830","Motilimonas"
"831","Motiliproteus"
"832","MSB-1D1"
"833","MSBL3"
"834","MSBL7"
"835","Mucilaginibacter"
"836","Muricauda"
"837","Muriicola"
"838","Mycobacterium"
"839","Mycoplasma"
"840","Myxosarcina GI1"
"841","Myxosarcina SAG 30.84"
"842","NA"
"843","Nafulsella"
"844","Nakamurella"
"845","Nannocystis"
"846","Natranaerovirga"
"847","Natronoflexus"
"848","Nautella"
"849","Negativicoccus"
"850","Neiella"
"851","Neisseria"
"852","Neochlamydia"
"853","Neomicrococcus"
"854","Neorickettsia"
"855","Neptuniibacter"
"856","Neptunomonas"
"857","Nereida"
"858","Nesiotobacter"
"859","Nesterenkonia"
"860","Niabella"
"861","Nibribacter"
"862","Nioella"
"863","Nisaea"
"864","Nitratireductor"
"865","Nitrosomonas"
"866","Nitrospina"
"867","Nitrospira"
"868","Nocardia"
"869","Nocardioides"
"870","Nocardiopsis"
"871","Nodosilinea PCC-7104"
"872","Nonlabens"
"873","Nosocomiicoccus"
"874","Noviherbaspirillum"
"875","Novosphingobium"
"876","NS10 marine group"
"877","NS2b marine group"
"878","NS3a marine group"
"879","NS4 marine group"
"880","NS5 marine group"
"881","Nubsella"
"882","oc32"
"883","Occallatibacter"
"884","Oceanibacterium"
"885","Oceanibaculum"
"886","Oceanibulbus"
"887","Oceanicaulis"
"888","Oceanicella"
"889","Oceanicoccus"
"890","Oceanicola"
"891","Oceanirhabdus"
"892","Oceaniserpentilla"
"893","Oceanobacillus"
"894","Oceanobacter"
"895","Oceanobacterium"
"896","Oceanococcus"
"897","Oceanospirillum"
"898","Ochrobactrum"
"899","Ochrovirga"
"900","Octadecabacter"
"901","Odoribacter"
"902","Ohtaekwangia"
"903","OLB12"
"904","Oleiagrimonas"
"905","Oleibacter"
"906","Oleiphilus"
"907","Oleispira"
"908","Oligella"
"909","Olleya"
"910","Olsenella"
"911","OM27 clade"
"912","OM43 clade"
"913","OM60(NOR5) clade"
"914","OM75 clade"
"915","Opitutus"
"916","Orenia"
"917","Oribacterium"
"918","Oricola"
"919","Ornatilinea"
"920","Ornithinibacter"
"921","Ornithobacterium"
"922","Oscillatoria SAG8.92"
"923","Oscillibacter"
"924","Ottowia"
"925","Owenweeksia"
"926","Oxalicibacterium"
"927","Oxalobacter"
"928","Oxobacter"
"929","P3OB-42"
"930","Paenarthrobacter"
"931","Paenibacillus"
"932","Paenirhodobacter"
"933","Pajaroellobacter"
"934","Palleronia-Pseudomaribius"
"935","Paludisphaera"
"936","Panacagrimonas"
"937","Pandoraea"
"938","Pannonibacter"
"939","Pantoea"
"940","Parabacteroides"
"941","Paraclostridium"
"942","Paracoccus"
"943","Paraglaciecola"
"944","Parahaliea"
"945","Paramaledivibacter"
"946","Paramoritella"
"947","Parapusillimonas"
"948","Pararhodospirillum"
"949","Parasegetibacter"
"950","Parasphingopyxis"
"951","Parvimonas"
"952","Parviterribacter"
"953","Parvularcula"
"954","Pasteuria"
"955","Patulibacter"
"956","Paucibacter"
"957","Pediococcus"
"958","Pedobacter"
"959","Pedococcus-Phycicoccus"
"960","Pedomicrobium"
"961","Pelagibaca"
"962","Pelagibacterium"
"963","Pelagibius"
"964","Pelagicoccus"
"965","Pelagicola"
"966","Pelagimonas"
"967","Pelistega"
"968","Pelobacter"
"969","Pelolinea"
"970","Pelomonas"
"971","Peptococcus"
"972","Peptoniphilus"
"973","Peptostreptococcus"
"974","Peredibacter"
"975","Perexilibacter"
"976","Permianibacter"
"977","Persicirhabdus"
"978","Persicitalea"
"979","Persicobacter"
"980","Perspicuibacter"
"981","Phaeobacter"
"982","Phaeocystidibacter"
"983","Phaeodactylibacter"
"984","Phascolarctobacterium"
"985","Phaselicystis"
"986","Phenylobacterium"
"987","Phormidesmis ANT.L52.6"
"988","Phormidesmis ANT.LACV5.1"
"989","Phormidium ETS-05"
"990","Phormidium MBIC10003"
"991","Photobacterium"
"992","Phreatobacter"
"993","Phycisphaera"
"994","Phyllobacterium"
"995","Pigmentiphaga"
"996","Pilimelia"
"997","Pir2 lineage"
"998","Pir4 lineage"
"999","Pirellula"
"1000","Piscinibacter"
"1001","Piscirickettsia"
"1002","Planctomicrobium"
"1003","Planifilum"
"1004","Planktomarina"
"1005","Planktotalea"
"1006","Planktothricoides SR001"
"1007","Planktothrix NIVA-CYA 15"
"1008","Planococcus"
"1009","Planomicrobium"
"1010","Plantibacter"
"1011","Plasticicumulans"
"1012","Pleionea"
"1013","Pleomorphomonas"
"1014","Plesiocystis"
"1015","Pleurocapsa PCC-7319"
"1016","Polaribacter"
"1017","Polaromonas"
"1018","Polycyclovorans"
"1019","Pontibacter"
"1020","Pontibacterium"
"1021","Ponticaulis"
"1022","Ponticoccus"
"1023","Pontivivens"
"1024","Porphyrobacter"
"1025","Porphyromonas"
"1026","Portibacter"
"1027","Porticoccus"
"1028","Poseidonibacter"
"1029","Poseidonocella"
"1030","possible genus 03"
"1031","Prevotella"
"1032","Prevotella_7"
"1033","Prevotella_9"
"1034","Pricia"
"1035","Prochlorococcus MIT9313"
"1036","Prochloron P1-Palau"
"1037","Prochlorothrix PCC-9006"
"1038","Profundibacterium"
"1039","Profundimonas"
"1040","Prolixibacter"
"1041","Propionibacterium"
"1042","Propioniciclava"
"1043","Propionicimonas"
"1044","Propionigenium"
"1045","Proteiniclasticum"
"1046","Proteiniphilum"
"1047","Pseudacidovorax"
"1048","Pseudaestuariivita"
"1049","Pseudahrensia"
"1050","Pseudaminobacter"
"1051","Pseudanabaena PCC-7367"
"1052","Pseudarthrobacter"
"1053","Pseudenhygromyxa"
"1054","Pseudoalteromonas"
"1055","Pseudobacteriovorax"
"1056","Pseudobowmanella"
"1057","Pseudoclavibacter"
"1058","Pseudoduganella"
"1059","Pseudofulvibacter"
"1060","Pseudofulvimonas"
"1061","Pseudoglutamicibacter"
"1062","Pseudohaliea"
"1063","Pseudohongiella"
"1064","Pseudokineococcus"
"1065","Pseudolabrys"
"1066","Pseudomaricurvus"
"1067","Pseudomonas"
"1068","Pseudonocardia"
"1069","Pseudooceanicola"
"1070","Pseudooctadecabacter"
"1071","Pseudophaeobacter"
"1072","Pseudopropionibacterium"
"1073","Pseudorhizobium"
"1074","Pseudorhodoferax"
"1075","Pseudorhodoplanes"
"1076","Pseudoruegeria"
"1077","Pseudoteredinibacter"
"1078","Pseudovibrio"
"1079","Pseudoxanthomonas"
"1080","Pseudozobellia"
"1081","Psychrilyobacter"
"1082","Psychrobacter"
"1083","Psychrobium"
"1084","Psychroflexus"
"1085","Psychroglaciecola"
"1086","Psychromonas"
"1087","Psychroserpens"
"1088","Psychrosphaera"
"1089","Puniceicoccus"
"1090","Pyrinomonas"
"1091","Pyruvatibacter"
"1092","Qipengyuania"
"1093","Quadrisphaera"
"1094","R76-B128"
"1095","Ralstonia"
"1096","Ramlibacter"
"1097","Raoultella"
"1098","Rapidithrix"
"1099","Rathayibacter"
"1100","RBG-16-49-21"
"1101","Reichenbachiella"
"1102","Reinekea"
"1103","Renibacterium"
"1104","Reyranella"
"1105","Rheinheimera"
"1106","Rhizobacter"
"1107","Rhizorhapis"
"1108","Rhodobacter"
"1109","Rhodobaculum"
"1110","Rhodobium"
"1111","Rhodococcus"
"1112","Rhodocytophaga"
"1113","Rhodoferax"
